ts_code,name,official_website,website_status,official_disclosure_page,note
002657.SZ,中科金财,https://www.sinodata.net.cn/,公司官网,,prodcrawler 内置人工对照域名
300561.SZ,汇金科技,https://www.sgsg.cc/,公司官网,,prodcrawler 内置人工对照域名
300663.SZ,科蓝软件,https://www.csii.com.cn/,公司官网,,prodcrawler 内置人工对照域名
300773.SZ,拉卡拉,https://www.lakala.com/,公司官网,,prodcrawler 内置人工对照域名
300130.SZ,新国都,https://www.xgd.com/,公司官网,,prodcrawler 内置人工对照域名
300465.SZ,高伟达,https://www.git.com.cn/,公司官网,,prodcrawler 内置人工对照域名
600570.SH,恒生电子,https://www.hundsun.com/,公司官网,,prodcrawler 内置人工对照域名
603171.SH,税友股份,https://www.servyou.com.cn/,公司官网,,prodcrawler 内置人工对照域名
603927.SH,中科软,https://www.sinosoft.com.cn/,公司官网,,prodcrawler 内置人工对照域名
688318.SH,财富趋势,https://www.tdx.com.cn/,公司官网,,prodcrawler 内置人工对照域名
688590.SH,新致软件,https://www.newtouch.com/,公司官网,,prodcrawler 内置人工对照域名
000997.SZ,新大陆,https://dt.newland.com.cn/,公司官网,,已核验（上市主体官网）
300941.SZ,创识科技,https://www.echase.cn/,公司官网,,prodcrawler 内置人工对照域名
300996.SZ,普联软件,https://www.pansoft.com/,公司官网,,prodcrawler 内置人工对照域名
300333.SZ,兆日科技,https://www.sinosun.com/,公司官网,,prodcrawler 内置人工对照域名
300348.SZ,长亮科技,https://www.sunline.cn/,公司官网,,prodcrawler 内置人工对照域名
300377.SZ,赢时胜,https://www.ysstech.com/,公司官网,,prodcrawler 内置人工对照域名
300468.SZ,四方精创,https://www.formssi.com/,公司官网,,prodcrawler 内置人工对照域名
600624.SH,ST复华,https://www.forwardgroup.com/,公司官网,,已核验（证券资料列示）
300059.SZ,东方财富,https://www.eastmoney.com/,公司官网,,prodcrawler 内置人工对照域名
300180.SZ,华峰超纤,https://microfibre.huafeng.com/,公司官网,,prodcrawler 内置人工对照域名
300542.SZ,新晨科技,https://www.brilliance.com.cn/,公司官网,,prodcrawler 内置人工对照域名
300033.SZ,同花顺,https://www.10jqka.com.cn/,公司官网,,prodcrawler 内置人工对照域名
300380.SZ,安硕信息,https://www.amarsoft.com/,公司官网,,prodcrawler 内置人工对照域名
601658.SH,邮储银行,https://www.psbc.com/,公司官网,,prodcrawler 内置人工对照域名
601198.SH,东兴证券,https://www.dxzq.net/,公司官网,,prodcrawler 内置人工对照域名
000686.SZ,东北证券,https://www.nesc.cn/,公司官网,,prodcrawler 内置人工对照域名
000776.SZ,广发证券,https://www.gf.com.cn/,公司官网,,prodcrawler 内置人工对照域名
000987.SZ,越秀资本,https://www.yuexiu-finance.com/,公司官网,,prodcrawler 内置人工对照域名
002670.SZ,国盛证券,https://www.gszq.com/,公司官网,,prodcrawler 内置人工对照域名
002721.SZ,金一文化,https://www.king1.com.cn/,公司官网,,prodcrawler 内置人工对照域名
002926.SZ,华西证券,https://www.hx168.com.cn/,公司官网,,prodcrawler 内置人工对照域名
300085.SZ,银之杰,https://www.yinzhijie.com/,公司官网,,prodcrawler 内置人工对照域名
300541.SZ,先进数通,https://www.adtec.com.cn/,公司官网,,prodcrawler 内置人工对照域名
300674.SZ,宇信科技,https://www.yusys.com.cn/,公司官网,,prodcrawler 内置人工对照域名
600036.SH,招商银行,https://www.cmbchina.com/,公司官网,,prodcrawler 内置人工对照域名
600095.SH,湘财股份,https://www.600095.com.cn/,公司官网,,prodcrawler 内置人工对照域名
600928.SH,西安银行,https://www.xacbank.com/,公司官网,,prodcrawler 内置人工对照域名
601166.SH,兴业银行,https://www.cib.com.cn/,公司官网,,prodcrawler 内置人工对照域名
601788.SH,光大证券,https://www.ebscn.com/,公司官网,,prodcrawler 内置人工对照域名
601860.SH,紫金银行,https://www.zjrcbank.com/,公司官网,,prodcrawler 内置人工对照域名
601901.SH,方正证券,https://www.foundersc.com/,公司官网,,prodcrawler 内置人工对照域名
601939.SH,建设银行,https://www.ccb.com/,公司官网,,prodcrawler 内置人工对照域名
601988.SH,中国银行,https://www.boc.cn/,公司官网,,prodcrawler 内置人工对照域名
603093.SH,南华期货,https://www.nanhua.net/,公司官网,,prodcrawler 内置人工对照域名
603123.SH,翠微股份,https://www.cwjt.com/,公司官网,,prodcrawler 内置人工对照域名
600906.SH,财达证券,https://www.95363.com/,公司官网,,已核验（证券资料列示）
601688.SH,华泰证券,https://www.htsc.com.cn/,公司官网,,prodcrawler 内置人工对照域名
300803.SZ,指南针,https://www.compass.cn/,公司官网,,prodcrawler 内置人工对照域名
601519.SH,大智慧,https://www.gw.com.cn/,公司官网,,prodcrawler 内置人工对照域名
601818.SH,光大银行,https://www.cebbank.com/,公司官网,,prodcrawler 内置人工对照域名
601825.SH,沪农商行,https://www.shrcb.com/,公司官网,,prodcrawler 内置人工对照域名
601995.SH,中金公司,https://www.cicc.com/,公司官网,,prodcrawler 内置人工对照域名
002987.SZ,京北方,https://www.northking.net/,公司官网,,prodcrawler 内置人工对照域名
601059.SH,信达证券,https://www.cindasc.com/,公司官网,,prodcrawler 内置人工对照域名
601375.SH,中原证券,https://www.ccnew.com/,公司官网,,prodcrawler 内置人工对照域名
001236.SZ,弘业期货,https://www.ftol.com.cn/,公司官网,,已核验（证券资料列示）
600909.SH,华安证券,https://www.hazq.com/,公司官网,,prodcrawler 内置人工对照域名
000567.SZ,海德股份,https://www.000567.com/,公司官网,,prodcrawler 内置人工对照域名
002797.SZ,第一创业,https://www.firstcapital.com.cn/,公司官网,,prodcrawler 内置人工对照域名
600816.SH,建元信托,https://www.j-yuantrust.com/,公司官网,,已核验（更名后官网）
601099.SH,太平洋,https://www.tpyzq.com/,公司官网,,prodcrawler 内置人工对照域名
000750.SZ,国海证券,https://www.ghzq.com.cn/,公司官网,,已核验（证券资料列示）
002537.SZ,海联金汇,https://www.hyunion.com.cn/,公司官网,,已核验（证券资料列示）
002647.SZ,仁东控股,https://www.rendongholdings.com/,公司官网,,prodcrawler 内置人工对照域名
002936.SZ,郑州银行,https://www.zzbank.cn/,公司官网,,已核验（证券资料列示）
600446.SH,金证股份,https://www.szkingdom.com/,公司官网,,prodcrawler 内置人工对照域名
601136.SH,首创证券,https://www.sczq.com.cn/,公司官网,,prodcrawler 内置人工对照域名
