company_id,TECH_LLM,TECH_ML,TECH_NLP,TECH_CV,TECH_SPEECH,TECH_KG,TECH_RL,TECH_PRIVACY,TECH_DECISION,AI_ENGINEERING
000987.SZ,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000997.SZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533,0.0
002647.SZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.0
002657.SZ,2.462,0.0,0.0,2.288,0.0,0.372,0.0,0.0,0.0,0.0
002670.SZ,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002721.SZ,0.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002987.SZ,2.343,0.0,0.0,0.169,0.0,0.0,0.0,0.0,0.0,0.0
300033.SZ,9.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
300059.SZ,6.154,0.0,0.473,0.0,0.309,0.0,0.0,0.0,0.0,0.516
300085.SZ,0.399,0.418,0.0,2.761,0.145,0.0,0.0,0.0,0.0,0.0
300130.SZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.448,0.0
300180.SZ,0.971,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.665,0.0
300348.SZ,3.668,0.0,0.0,0.0,0.0,0.0,0.0,0.427,0.546,0.0
300377.SZ,2.993,0.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300465.SZ,0.0,0.0,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300468.SZ,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384,0.0
300541.SZ,1.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.153
300542.SZ,1.295,0.0,0.0,0.948,0.0,0.0,0.0,0.0,0.0,0.0
300561.SZ,0.427,0.0,0.0,0.965,0.324,0.0,0.0,0.0,0.0,0.0
300663.SZ,5.519,0.0,0.0,0.376,0.0,0.0,0.0,0.0,0.0,3.449
300674.SZ,1.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300996.SZ,1.045,1.082,0.0,0.0,0.0,0.0,0.0,0.0,0.351,0.0
600446.SH,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600570.SH,1.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600906.SH,0.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372,0.0
600928.SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.366,0.0
601788.SH,0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603093.SH,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603171.SH,2.136,0.0,0.0,0.0,0.0,0.611,0.393,0.0,0.0,0.0
603927.SH,0.16,0.0,0.0,0.0,0.0,0.932,0.0,0.0,0.0,1.173
688318.SH,2.031,0.141,0.462,0.0,0.0,0.0,0.479,0.0,0.0,0.0
688590.SH,3.884,0.0,0.0,0.602,0.485,0.0,0.427,0.515,0.335,0.0
