company_id,company_name,ai_kw_hits_2025,ai_breadth_2025,ai_depth_2025,ai_hhi_2025,ai_product_lines_2025,primary_direction_2025,top3_2025,text_len,ai_density_2025,rd_text_type
300996.SZ,普联软件,61,5,31.0,0.286,4,大模型与生成式AI,大模型与生成式AI(13.0) > AI工程化与算力底座(8.0) > 机器学习与深度学习(5.0),4472,13.64,叙述型(含研发项目描述)
300085.SZ,银之杰,26,5,20.5,0.284,1,计算机视觉,计算机视觉(7.5) > AI工程化与算力底座(7.0) > 机器学习与深度学习(3.0),1382,18.813,叙述型(含研发项目描述)
300468.SZ,四方精创,91,5,20.0,0.349,5,大模型与生成式AI,大模型与生成式AI(10.5) > 隐私计算与可信AI(4.5) > 强化学习与智能优化(2.0),11600,7.845,叙述型(含研发项目描述)
300033.SZ,同花顺,87,7,19.5,0.378,2,大模型与生成式AI,大模型与生成式AI(11.5) > 智能语音(2.0) > 知识图谱(1.5),2438,35.685,叙述型(含研发项目描述)
002657.SZ,中科金财,31,4,19.0,0.573,1,大模型与生成式AI,大模型与生成式AI(14.0) > 计算机视觉(3.0) > 自然语言处理(1.0),1714,18.086,叙述型(含研发项目描述)
300180.SZ,华峰超纤,51,5,18.0,0.35,1,大模型与生成式AI,大模型与生成式AI(9.5) > 智能决策与预测(4.0) > 机器学习与深度学习(2.0),3246,15.712,叙述型(含研发项目描述)
601519.SH,大智慧,56,5,16.0,0.432,2,大模型与生成式AI,大模型与生成式AI(10.0) > 机器学习与深度学习(2.5) > 知识图谱(1.5),3047,18.379,纯表格型(仅投入金额表)
300059.SZ,东方财富,32,3,10.5,0.746,2,大模型与生成式AI,大模型与生成式AI(9.0) > AI工程化与算力底座(1.0) > 智能决策与预测(0.5),1486,21.534,叙述型(含研发项目描述)
300541.SZ,先进数通,13,2,10.0,0.5,2,大模型与生成式AI,大模型与生成式AI(5.0) > AI工程化与算力底座(5.0),3151,4.126,叙述型(含研发项目描述)
300663.SZ,科蓝软件,13,2,6.5,0.503,1,AI工程化与算力底座,AI工程化与算力底座(3.5) > 大模型与生成式AI(3.0),1852,7.019,叙述型(含研发项目描述)
002987.SZ,京北方,9,1,5.0,1.0,1,大模型与生成式AI,大模型与生成式AI(5.0),192,46.875,叙述型(含研发项目描述)
002670.SZ,国盛证券,10,2,5.0,0.52,2,大模型与生成式AI,大模型与生成式AI(3.0) > 智能决策与预测(2.0),1448,6.906,叙述型(含研发项目描述)
300941.SZ,创识科技,68,2,4.5,0.556,3,计算机视觉,计算机视觉(3.0) > 智能决策与预测(1.5),4738,14.352,叙述型(含研发项目描述)
300561.SZ,汇金科技,5,3,4.5,0.506,0,大模型与生成式AI,大模型与生成式AI(3.0) > 计算机视觉(1.0) > AI工程化与算力底座(0.5),1997,2.504,叙述型(含研发项目描述)
300674.SZ,宇信科技,8,1,3.0,1.0,1,大模型与生成式AI,大模型与生成式AI(3.0),289,27.682,叙述型(含研发项目描述)
