变量X,变量Y,N,spearman_rho,p_value,显著性
total_assets_2025_yi,ai_depth_2025,7,-0.906,0.0049,**p<0.01
rd_intensity_pct,depth_2024,21,0.521,0.0155,*p<0.05
rd_intensity_pct[叙述型子样本],ai_depth_2025,15,0.449,0.0931,†p<0.1
net_margin_pct,depth_2024,21,-0.356,0.1134,不显著
revenue_2025_yi,ai_density_2025,36,0.18,0.2925,不显著
rd_intensity_pct,ai_breadth_2025,30,0.135,0.4765,不显著
rd_intensity_pct,ai_depth_2025,30,0.131,0.4906,不显著
net_profit_2025_yi,ai_depth_2025,23,-0.147,0.5025,不显著
revenue_2025_yi,depth_2024,27,-0.12,0.5522,不显著
revenue_2025_yi,rd_intensity_pct,30,-0.101,0.5946,不显著
rd_amount_2025_yi,ai_breadth_2025,31,0.089,0.6324,不显著
rd_amount_2025_yi,ai_depth_2025,31,0.084,0.6545,不显著
revenue_2025_yi,ai_breadth_2025,36,-0.076,0.6588,不显著
revenue_2025_yi,ai_depth_2025,36,-0.073,0.6734,不显著
net_margin_pct,ai_depth_2025,22,-0.078,0.7297,不显著
net_margin_pct,rd_intensity_pct,16,-0.071,0.795,不显著
net_margin_pct[叙述型子样本],ai_depth_2025,15,-0.045,0.8744,不显著
revenue_2025_yi[叙述型子样本],ai_depth_2025,21,0.027,0.9084,不显著
rd_intensity_pct,ai_density_2025,30,0.02,0.9147,不显著
net_margin_pct,ai_breadth_2025,22,-0.018,0.9384,不显著
