company_id,company_name,segment,board,in_kg_sample,revenue_2025_yi,revenue_source,revenue_implied_yi,net_profit_2025_yi,total_assets_2025_yi,roe_2025_pct,net_margin_pct,is_loss,rd_amount_2025_yi,rd_intensity_pct,rd_growth_pct,rd_cap_ratio_pct,rd_staff_2025,rd_disclosed,rd_format,asset_intensity
000567.SZ,海德股份,其他金融,,False,7.31,年报反推,7.31,,,,,,0.0066,0.09,-90.28,0.0,,True,A_深市版,资产密集型金融机构
000686.SZ,东北证券,证券,,False,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构
000750.SZ,国海证券,证券,,False,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构
000776.SZ,广发证券,证券,,False,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构
000987.SZ,越秀资本,证券,深市主板,True,76.77,年报反推,76.77,,,,,,0.0461,0.06,-40.7,,,True,A_深市版,资产密集型金融机构
000997.SZ,新大陆,支付与商户服务,深市主板,True,87.58,年报检索,87.62,10.11,,13.91,11.54,0.0,6.5103,7.43,-2.02,0.0,3594.0,True,A_深市版,轻资产科技服务商
001236.SZ,弘业期货,期货,,False,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构
002537.SZ,海联金汇,其他,,False,,缺失,,,,,,,,,,,,False,无投入表,轻资产科技服务商
002647.SZ,仁东控股,支付与商户服务,深市主板,True,8.22,年报反推,8.22,,,,,,0.3511,4.27,-32.19,,,True,A_深市版,轻资产科技服务商
002657.SZ,中科金财,金融IT服务商,深市主板,True,8.56,年报检索,8.56,-1.1,,,-12.85,1.0,1.9797,23.13,14.57,,,True,A_深市版,轻资产科技服务商
002670.SZ,国盛证券,证券,深市主板,True,,缺失,,,,,,,0.1874,,13.27,,,True,A_深市版,资产密集型金融机构
002721.SZ,金一文化,其他,深市主板,True,8.77,年报反推,8.77,,,,,,0.2737,3.12,,,,True,A_深市版,轻资产科技服务商
002797.SZ,第一创业,证券,,False,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构
002926.SZ,华西证券,证券,,False,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构
002987.SZ,京北方,金融IT服务商,深市主板,True,48.39,年报检索,,3.27,,,6.76,0.0,,,,,,False,无投入表,轻资产科技服务商
300033.SZ,同花顺,互联网金融信息,创业板,True,60.29,年报检索,60.3,32.05,,,53.16,0.0,11.4508,18.99,-4.04,,3141.0,True,A_深市版,轻资产科技服务商
300059.SZ,东方财富,互联网金融信息,创业板,True,160.68,年报检索,160.62,120.85,,,75.21,0.0,10.6655,6.64,-6.66,,1973.0,True,A_深市版,轻资产科技服务商
300079.SZ,数码视讯,其他,,False,7.33,年报反推,7.33,,,,,,0.9829,13.41,-27.17,,,True,A_深市版,轻资产科技服务商
300085.SZ,银之杰,金融IT服务商,创业板,True,7.58,年报检索,,-1.33,9.13,-27.22,-17.55,1.0,,,,,,False,无投入表,轻资产科技服务商
300130.SZ,新国都,支付与商户服务,创业板,True,31.8,年报检索,31.79,4.69,,,14.75,0.0,2.8679,9.02,3.67,,,True,A_深市版,轻资产科技服务商
300180.SZ,华峰超纤,其他,创业板,True,40.0,年报反推,40.0,,,,,,1.5321,3.83,-20.27,,,True,A_深市版,轻资产科技服务商
300333.SZ,兆日科技,金融IT服务商,,False,,缺失,,,,,,,,,,,,False,无投入表,轻资产科技服务商
300348.SZ,长亮科技,金融IT服务商,创业板,True,19.58,年报检索,,0.21,29.51,0.97,1.07,0.0,,,,,,False,无投入表,轻资产科技服务商
300377.SZ,赢时胜,金融IT服务商,创业板,True,13.7,年报检索,,-0.0526,,,-0.38,1.0,,,,,,False,无投入表,轻资产科技服务商
300380.SZ,安硕信息,金融IT服务商,,False,,缺失,,,,,,,,,,,,False,无投入表,轻资产科技服务商
