company_id,company_name,segment,asset_intensity,revenue_2025_yi,net_profit_2025_yi,net_margin_pct,rd_amount_2025_yi,rd_intensity_pct,ai_depth_2025,ai_breadth_2025,primary_direction_2025,quadrant
300996.SZ,普联软件,金融IT服务商,轻资产科技服务商,8.25,0.7398,8.97,1.1639,14.11,31.0,5,大模型与生成式AI,Ⅰ 技术驱动型（高投入·高AI布局）
300468.SZ,四方精创,金融IT服务商,轻资产科技服务商,6.31,0.743,11.77,0.5992,9.5,20.0,5,大模型与生成式AI,Ⅰ 技术驱动型（高投入·高AI布局）
300033.SZ,同花顺,互联网金融信息,轻资产科技服务商,60.29,32.05,53.16,11.4508,18.99,19.5,7,大模型与生成式AI,Ⅰ 技术驱动型（高投入·高AI布局）
002657.SZ,中科金财,金融IT服务商,轻资产科技服务商,8.56,-1.1,-12.85,1.9797,23.13,19.0,4,大模型与生成式AI,Ⅰ 技术驱动型（高投入·高AI布局）
601519.SH,大智慧,互联网金融信息,轻资产科技服务商,8.26,,,1.8511,22.4,16.0,5,大模型与生成式AI,Ⅰ 技术驱动型（高投入·高AI布局）
300561.SZ,汇金科技,金融IT服务商,轻资产科技服务商,1.12,,,0.1395,12.45,4.5,3,大模型与生成式AI,Ⅰ 技术驱动型（高投入·高AI布局）
300130.SZ,新国都,支付与商户服务,轻资产科技服务商,31.8,4.69,14.75,2.8679,9.02,1.0,1,智能决策与预测,Ⅰ 技术驱动型（高投入·高AI布局）
300079.SZ,数码视讯,其他,轻资产科技服务商,7.33,,,0.9829,13.41,0.0,0,,Ⅱ 投入未转化（高投入·低AI布局）
600446.SH,金证股份,金融IT服务商,轻资产科技服务商,24.19,-1.68,-6.95,5.0021,20.68,0.0,0,,Ⅱ 投入未转化（高投入·低AI布局）
600570.SH,恒生电子,金融IT服务商,轻资产科技服务商,57.83,12.31,21.29,21.8,37.7,0.0,0,,Ⅱ 投入未转化（高投入·低AI布局）
601788.SH,光大证券,证券,资产密集型金融机构,108.52,37.29,34.36,9.9613,9.18,0.0,0,,Ⅱ 投入未转化（高投入·低AI布局）
603171.SH,税友股份,金融IT服务商,轻资产科技服务商,20.54,1.36,6.62,5.1109,24.89,0.0,0,,Ⅱ 投入未转化（高投入·低AI布局）
603927.SH,中科软,金融IT服务商,轻资产科技服务商,60.28,2.24,3.72,8.176,13.56,0.0,0,,Ⅱ 投入未转化（高投入·低AI布局）
688318.SH,财富趋势,互联网金融信息,轻资产科技服务商,3.68,3.15,85.6,0.8558,23.25,0.0,0,,Ⅱ 投入未转化（高投入·低AI布局）
688590.SH,新致软件,金融IT服务商,轻资产科技服务商,21.07,-1.27,-6.03,2.0192,9.58,0.0,0,,Ⅱ 投入未转化（高投入·低AI布局）
300180.SZ,华峰超纤,其他,轻资产科技服务商,40.0,,,1.5321,3.83,18.0,5,大模型与生成式AI,Ⅲ 轻投入高声量（低投入·高AI布局）
300059.SZ,东方财富,互联网金融信息,轻资产科技服务商,160.68,120.85,75.21,10.6655,6.64,10.5,3,大模型与生成式AI,Ⅲ 轻投入高声量（低投入·高AI布局）
300541.SZ,先进数通,金融IT服务商,轻资产科技服务商,35.84,1.19,3.32,0.8947,2.5,10.0,2,大模型与生成式AI,Ⅲ 轻投入高声量（低投入·高AI布局）
300803.SZ,指南针,互联网金融信息,轻资产科技服务商,21.46,2.28,10.62,1.6447,7.66,1.5,2,智能决策与预测,Ⅲ 轻投入高声量（低投入·高AI布局）
000567.SZ,海德股份,其他金融,资产密集型金融机构,7.31,,,0.0066,0.09,1.0,1,智能决策与预测,Ⅲ 轻投入高声量（低投入·高AI布局）
000987.SZ,越秀资本,证券,资产密集型金融机构,76.77,,,0.0461,0.06,1.0,1,大模型与生成式AI,Ⅲ 轻投入高声量（低投入·高AI布局）
000997.SZ,新大陆,支付与商户服务,轻资产科技服务商,87.58,10.11,11.54,6.5103,7.43,1.0,1,智能决策与预测,Ⅲ 轻投入高声量（低投入·高AI布局）
002647.SZ,仁东控股,支付与商户服务,轻资产科技服务商,8.22,,,0.3511,4.27,1.0,1,智能决策与预测,Ⅲ 轻投入高声量（低投入·高AI布局）
002721.SZ,金一文化,其他,轻资产科技服务商,8.77,,,0.2737,3.12,0.0,0,,Ⅳ 双低（低投入·低AI布局）
600095.SH,湘财股份,证券,资产密集型金融机构,3.01,,,0.0012,0.04,0.0,0,,Ⅳ 双低（低投入·低AI布局）
600624.SH,ST复华,其他,轻资产科技服务商,6.4,,,0.3873,6.05,0.0,0,,Ⅳ 双低（低投入·低AI布局）
601059.SH,信达证券,证券,资产密集型金融机构,40.38,,,0.1656,0.41,0.0,0,,Ⅳ 双低（低投入·低AI布局）
601456.SH,国联民生,证券,资产密集型金融机构,76.54,,,0.6889,0.9,0.0,0,,Ⅳ 双低（低投入·低AI布局）
603093.SH,南华期货,证券,资产密集型金融机构,13.88,,,0.2096,1.51,0.0,0,,Ⅳ 双低（低投入·低AI布局）
603123.SH,翠微股份,其他,轻资产科技服务商,23.19,,,0.5428,2.34,0.0,0,,Ⅳ 双低（低投入·低AI布局）
