company_id,company_name,rd_amount,rd_cap_B,rd_ratio,rd_cap_amt,rd_cap_ratio,rd_staff,rd_staff_pct,rd_total_B,rd_expensed_B
000567.SZ,海德股份,"研发投入金额（元） ||| 657,926.07 / 6,767,960.53",资本化研发投入占研发投入的比例 ||| [跳过]0.00% / [跳过]0.00% / 空,研发投入占营业收入比例 ||| 0.09% / 0.79%,研发投入资本化的金额（元） ||| 空,资本化研发投入占研发投入的比例 ||| 0.00% / 0.00%,研发人员数量(人) ||| [跳过]-66.66%,研发人员数量占比 ||| 3.2% / 8.22%,,
000686.SZ,东北证券,,,,,,,,,
000750.SZ,国海证券,,,,,,,,,
000776.SZ,广发证券,,,,,,,,,
000987.SZ,越秀资本,"研发投入金额 ||| 4,606,405.29 / 7,768,618.59",资本化研发投入占研发投入 ||| ,研发投入占营业总收入比例 ||| 0.06% / 0.10%,研发投入资本化的金额 ||| - / - / -,,研发人员数量（人） ||| [跳过]-12.22%,研发人员数量占比 ||| 6.33% / 7.15%,,
000997.SZ,新大陆,"研发投入金额（元） ||| 651,025,799.23 / 664,428,266.99",资本化研发投入占研发投入的比例 ||| [跳过]0.00% / [跳过]0.00% / [跳过]0.00% / 空,研发投入占营业总收入比例 ||| 7.43% / 8.58%,研发投入资本化的金额（元） ||| 0.00 / 0.00,资本化研发投入占研发投入的比例 ||| 0.00% / 0.00%,"研发人员数量（人） ||| 3,594 / 3,804",研发人员数量占比 ||| 57.73% / 56.75%,,
001236.SZ,弘业期货,,,,,,,,,
002537.SZ,海联金汇,,,,,,,,,
002647.SZ,仁东控股,"研发投入金额（元） ||| 35,106,591.29 / 51,773,603.16",资本化研发投入占研发投入 ||| ,研发投入占营业收入比例 ||| 4.27% / 4.47%,研发投入资本化的金额 ||| ,,研发人员数量（人） ||| [跳过]-16.55%,研发人员数量占比 ||| 35.37% / 36.58%,,
002657.SZ,中科金财,"研发投入金额（元） ||| 197,974,925.72 / 172,805,425.91",资本化研发投入占研发投入 ||| ,研发投入占营业收入比例 ||| 23.13% / 16.02%,研发投入资本化的金额 ||| ,,研发人员数量（人） ||| [跳过]-13.14%,研发人员数量占比 ||| 70.69% / 72.62%,,
