company_id,company_name,section_nature,rd_format,rd_disclosed,rd_section_words,rd_amount_2025,rd_amount_2024,rd_ratio_2025,rd_ratio_2024,rd_cap_amt_2025,rd_cap_ratio_2025,rd_staff_2025,rd_staff_2024,rd_staff_pct_2025,body_chars,revenue_implied_2025,revenue_implied_2024,rd_growth_pct,staff_total_implied_2025,parse_flag
000567.SZ,海德股份,原文切出,A_深市版,True,671.0,657926.07,6767960.53,0.09,0.79,,0.0,,,3.2,702,731028966.6666666,856703864.556962,-90.27881343155528,,
000686.SZ,东北证券,AI定位·原文,无投入表,True,88.0,,,,,,,,,,120,,,,,
000750.SZ,国海证券,公司填报不适用,无投入表,False,17.0,,,,,,,,,,48,,,,,
000776.SZ,广发证券,公司填报不适用,无投入表,False,12.0,,,,,,,,,,43,,,,,
000987.SZ,越秀资本,原文切出,A_深市版,True,869.0,4606405.29,7768618.59,0.06,0.1,,,,,6.33,900,7677342150.000001,7768618590.0,-40.70496270817693,,
000997.SZ,新大陆,原文切出,A_深市版,True,812.0,651025799.23,664428266.99,7.43,8.58,0.0,0.0,3594.0,3804.0,57.73,843,8762123811.978468,7743919195.687646,-2.017142922096915,6225.532652000694,
001236.SZ,弘业期货,原文切出,无投入表,True,290.0,,,,,,,,,,321,,,,,
002537.SZ,海联金汇,原文切出,无投入表,True,2165.0,,,,,,,,,,2196,,,,,
002647.SZ,仁东控股,原文切出,A_深市版,True,2416.0,35106591.29,51773603.16,4.27,4.47,,,,,35.37,2447,822168414.2857144,1158246155.704698,-32.192103413186516,,
002657.SZ,中科金财,原文切出,A_深市版,True,1903.0,197974925.72,172805425.91,23.13,16.02,,,,,70.69,1933,855922722.5248595,1078685554.9937577,14.565225413181594,,
002670.SZ,国盛证券,原文切出,A_深市版,True,1621.0,18741642.27,16545576.97,,,,,,,2.3,1652,,,13.272823933440625,,
002721.SZ,金一文化,原文切出,A_深市版,True,2244.0,27369795.28,,3.12,0.0,,,,,7.44,2275,877237028.2051282,,,,
002797.SZ,第一创业,原文切出,无投入表,True,7.0,,,,,,,,,,38,,,,,
002926.SZ,华西证券,原文切出,无投入表,True,7.0,,,,,,,,,,38,,,,,
002987.SZ,京北方,原文切出,无投入表,True,182.0,,,,,,,,,,213,,,,,
300033.SZ,同花顺,原文切出,A_深市版,True,2635.0,1145077195.39,1193243542.03,18.99,28.5,,,3141.0,3105.0,61.75,2665,6029895710.321222,4186819445.7192984,-4.036589760884612,5086.63967611336,
300059.SZ,东方财富,原文切出,A_深市版,True,1640.0,1066549339.24,1142623276.82,6.64,9.85,,,1973.0,1868.0,30.81,1671,16062490048.795181,11600236312.893402,-6.657831948927118,6403.765011359948,
300079.SZ,数码视讯,原文切出,A_深市版,True,1584.0,98287470.33,134963032.39,13.41,20.18,,,,,42.37,1615,732941613.1991051,668795997.9682853,-27.174524320125936,,
300085.SZ,银之杰,原文切出,无投入表,True,1519.0,,,,,,,,,,1550,,,,,
300130.SZ,新国都,原文切出,A_深市版,True,1735.0,286790299.17,276645931.45,9.02,8.79,,,,,39.15,1766,3179493338.9135256,3147280221.274175,3.6669137575346955,,
300180.SZ,华峰超纤,原文切出,A_深市版,True,3547.0,153213542.79,192172878.21,3.83,4.19,,,,,15.85,3578,4000353597.6501303,4586464873.747016,-20.273066513281112,,
300333.SZ,兆日科技,原文切出,无投入表,True,276.0,,,,,,,,,,307,,,,,
300348.SZ,长亮科技,原文切出,无投入表,True,260.0,,,,,,,,,,291,,,,,
300377.SZ,赢时胜,原文切出,无投入表,True,81.0,,,,,,,,,,112,,,,,
300380.SZ,安硕信息,原文切出,无投入表,True,600.0,,,,,,,,,,631,,,,,
300465.SZ,高伟达,原文切出,无投入表,True,332.0,,,,,,,,,,363,,,,,
300468.SZ,四方精创,原文切出,A_深市版,True,12916.0,59923361.47,70100534.63,9.5,9.47,,,,,19.31,12947,630772226.0,740237958.0781415,-14.517967963748745,,
300541.SZ,先进数通,原文切出,A_深市版,True,3425.0,89474393.16,106067224.78,2.5,4.78,,,,,9.08,3456,3578975726.3999996,2218979597.90795,-15.643693567373074,,
300542.SZ,新晨科技,原文切出,无投入表,True,240.0,,,,,,,,,,271,,,,,
300561.SZ,汇金科技,原文切出,A_深市版,True,2180.0,13952938.46,14726953.57,12.45,16.39,,,,,37.11,2210,112071794.85943776,89853285.96705307,-5.255772053065555,,
300663.SZ,科蓝软件,原文切出,无投入表,True,2037.0,,,,,,,,,,2068,,,,,
300674.SZ,宇信科技,原文切出,无投入表,True,292.0,,,,,,,,,,323,,,,,
300803.SZ,指南针,原文切出,A_深市版,True,1700.0,164474020.0,162573764.0,7.66,10.63,,,,,9.94,1731,2147180417.754569,1529386302.9162745,1.168857725407646,,
300941.SZ,创识科技,原文切出,无投入表,True,5170.0,,,,,,,,,,5201,,,,,
