title,std_title,category,n
理财经理,理财经理,财富管理与投资顾问,72
证券投资顾问,投资顾问,财富管理与投资顾问,72
财富经理,财富经理,财富管理与投资顾问,67
投资顾问,投资顾问,财富管理与投资顾问,67
理财顾问,理财经理,财富管理与投资顾问,64
财富顾问,财富经理,财富管理与投资顾问,62
证券理财经理,证券理财经理,财富管理与投资顾问,44
Java,java开发工程师,软件研发与测试运维,40
证券经纪人,证券经纪人,客户营销与销售,40
客户经理,客户经理,客户营销与销售,39
Java开发工程师,java开发工程师,软件研发与测试运维,26
测试工程师,测试工程师,软件研发与测试运维,21
证券客户经理,客户经理,客户营销与销售,21
前端开发工程师,前端开发工程师,软件研发与测试运维,21
java开发工程师,java开发工程师,软件研发与测试运维,18
产品经理,产品经理,产品与需求管理,16
中级java开发工程师,java开发工程师,软件研发与测试运维,16
证券财富顾问,财富经理,财富管理与投资顾问,16
机构业务岗,机构业务,客户营销与销售,15
财富总监,财富总监,财富管理与投资顾问,12
证券理财顾问,理财经理,财富管理与投资顾问,12
java开发,java开发工程师,软件研发与测试运维,11
java,java开发工程师,软件研发与测试运维,10
助理财富顾问,助理财富顾问,财富管理与投资顾问,9
运维工程师,运维工程师,软件研发与测试运维,9
证券,证券,其他运营支持,9
实施工程师,实施工程师,产品与需求管理,8
项目经理,项目经理,产品与需求管理,8
证券分析师,证券分析师,投资研究与投行,7
副总经理,副总经理,客户营销与销售,7
证券公司机构业务经理,证券公司机构业务经理,客户营销与销售,7
零售经理,零售经理,客户营销与销售,7
电话销售,电话销售,客户营销与销售,7
高级财税顾问,财税咨询顾问,财务分析与财税咨询,7
投资银行业务,投资银行业务,投资研究与投行,7
客户成功经理,客户成功经理,客户营销与销售,7
需求分析师,需求分析师,产品与需求管理,7
柜员,柜员,客户营销与销售,7
金融产品经理,金融产品经理,产品与需求管理,6
大数据开发工程师,大数据开发工程师,数据分析与数据工程,6
渠道经理,渠道经理,客户营销与销售,6
初级java开发工程师,java开发工程师,软件研发与测试运维,6
ETL工程师,etl工程师,数据分析与数据工程,6
证券柜员,证券柜员,客户营销与销售,6
金融实习生,金融实习生,其他运营支持,6
需求分析工程师,需求分析师,产品与需求管理,6
银行客户经理,客户经理,客户营销与销售,6
证券投资顾问助理,证券投资顾问助理,财富管理与投资顾问,6
信用卡销售,信用卡销售,客户营销与销售,6
信用卡客户经理,信用卡客户经理,客户营销与销售,6
私人财富顾问,财富经理,财富管理与投资顾问,6
Java开发,java开发工程师,软件研发与测试运维,5
市场总监,市场总监,其他运营支持,5
数据开发,数据开发工程师,数据分析与数据工程,5
私人财富经理,私人财富经理,财富管理与投资顾问,5
软件测试工程师,测试工程师,软件研发与测试运维,5
经纪人,经纪人,客户营销与销售,5
ai产品经理,ai产品经理,算法与AI工程,5
投顾总监,投顾总监,财富管理与投资顾问,5
高级java开发工程师,java开发工程师,软件研发与测试运维,5
总经理助理,总经理助理,合规审计与法务,5
债券承做岗,债券承做,投资研究与投行,5
高级财富顾问,财富经理,财富管理与投资顾问,5
大客户经理,大客户经理,客户营销与销售,5
AI产品经理,ai产品经理,算法与AI工程,5
财富管理顾问,财富经理,财富管理与投资顾问,5
C/C++,c/c++,软件研发与测试运维,4
营业部副总经理,营业部副总经理,客户营销与销售,4
理财经理/团队经理,理财经理/团队经理,财富管理与投资顾问,4
理财经理/投资顾问,理财经理/投资顾问,财富管理与投资顾问,4
财税实施顾问,财税实施顾问,财务分析与财税咨询,4
测试,测试工程师,软件研发与测试运维,4
资产盘点负责人,资产盘点负责人,财务会计核算,4
银行理财经理,银行理财经理,财富管理与投资顾问,4
机构业务经理,机构业务经理,客户营销与销售,4
需求分析,需求分析师,产品与需求管理,4
理财经理岗,理财经理,财富管理与投资顾问,4
金融渠道经理,金融渠道经理,客户营销与销售,4
基金理财师,基金理财师,财富管理与投资顾问,4
Java工程师,java开发工程师,软件研发与测试运维,4
应用运维,应用运维,软件研发与测试运维,4
数据分析,数据分析师,数据分析与数据工程,4
证券,证券,财富管理与投资顾问,4
ai开发工程师,ai开发工程师,算法与AI工程,3
交付工程师-工程总部,交付工程师-工程,产品与需求管理,3
投资/理财顾问,投资/理财顾问,财富管理与投资顾问,3
投顾助理 (MJ002455),投资顾问,财富管理与投资顾问,3
全栈工程师,全栈工程师,软件研发与测试运维,3
JAVA开发工程师,java开发工程师,软件研发与测试运维,3
投资顾问岗,投资顾问,财富管理与投资顾问,3
财富管理总监,财富管理总监,财富管理与投资顾问,3
英语翻译,英语翻译,其他运营支持,3
大模型算法工程师,大模型算法工程师,算法与AI工程,3
JAVA开发-需出差,java开发-需出差,软件研发与测试运维,3
java中高级开发工程师,java中高级开发工程师,软件研发与测试运维,3
高级需求分析师,需求分析师,产品与需求管理,3
资深财富顾问,财富经理,财富管理与投资顾问,3
