category,岗位数,公司数,薪资中位数K,平均学历层级,平均经验层级,AI渗透度,数字化技能覆盖率,人际能力覆盖率,重复性任务覆盖率,创造性任务覆盖率,规则化表述覆盖率,AI关键词强度,数字化关键词强度,人际关键词强度,重复性关键词强度,规则化关键词强度,低门槛岗位占比,高经验壁垒占比,R_raw,S_raw,D_raw,A_raw,H_raw,R_data,S_data,D_data,A_data,H_data
算法与AI工程,72,19,20.25,3.18,2.58,0.9722,0.7639,0.7639,0.5139,0.6111,0.5972,5.3056,2.0694,1.7361,0.7917,1.2083,0.2083,0.3333,0.3569,0.4744,0.618,0.9806,0.5206,23.76,38.85,60.33,90.0,33.34
数据分析与数据工程,154,22,13.5,3.0,3.12,0.6169,0.9675,0.6818,0.6104,0.3182,0.5649,0.9351,7.4091,1.6688,1.0,1.0195,0.0714,0.3377,0.4461,0.4322,0.9773,0.4847,0.4716,37.9,33.71,90.0,49.54,23.65
信贷与授信审批,8,5,12.0,3.0,2.62,0.0,0.375,0.875,0.625,0.25,0.75,0.0,1.125,2.5,1.25,1.125,0.125,0.125,0.4995,0.5727,0.3075,0.0,0.5852,46.38,50.8,34.68,10.0,46.13
风险管理,20,8,12.5,2.85,2.45,0.05,0.2,0.8,0.8,0.55,0.85,0.4,0.25,4.25,1.6,3.55,0.3,0.15,0.5771,0.895,0.1495,0.0576,0.6775,58.67,90.0,21.63,14.7,64.4
合规审计与法务,28,13,10.5,2.75,2.64,0.1429,0.2857,0.9643,0.75,0.3571,0.6429,0.3929,0.6429,3.0357,1.5357,2.25,0.3929,0.25,0.6082,0.6147,0.2254,0.1222,0.7045,63.62,55.92,27.91,19.97,69.74
财务会计核算,55,14,7.5,2.6,1.98,0.0,0.3455,0.6909,0.7091,0.2,0.5273,0.0,0.6909,2.4909,2.6,1.5091,0.6545,0.0545,0.7745,0.4567,0.2692,0.0,0.4657,90.0,36.7,31.52,10.0,22.47
财务分析与财税咨询,37,3,14.0,2.43,3.43,0.0,0.1351,0.973,0.5946,0.5405,0.9189,0.0,0.1622,3.3784,1.027,2.0541,0.5676,0.5405,0.497,0.7876,0.1005,0.0,0.8069,45.98,76.94,17.59,10.0,90.0
投资研究与投行,63,15,10.5,3.3,1.94,0.0476,0.1746,0.6984,0.5556,0.5079,0.4762,0.2698,0.4286,2.1429,0.8413,0.8254,0.3333,0.381,0.4238,0.3498,0.1389,0.0486,0.5261,34.37,23.7,20.76,13.96,34.43
财富管理与投资顾问,732,15,8.5,2.88,1.67,0.0027,0.0123,0.7418,0.4481,0.332,0.3388,0.0027,0.0164,2.3415,0.623,0.6667,0.5396,0.0287,0.437,0.2372,0.0086,0.0021,0.4763,36.46,10.0,10.0,10.17,24.58
客户营销与销售,599,31,10.5,2.63,1.83,0.0451,0.0751,0.8831,0.5092,0.3222,0.404,0.0618,0.1369,3.6878,0.8331,0.7513,0.6277,0.0701,0.5005,0.2916,0.0575,0.035,0.6624,46.54,16.62,14.04,12.86,61.4
产品与需求管理,230,28,15.0,2.91,3.03,0.2304,0.4826,0.8478,0.487,0.5391,0.6087,0.4609,1.2957,3.8783,0.8478,1.087,0.1739,0.3217,0.3589,0.4698,0.3897,0.1874,0.7197,24.07,38.29,41.48,25.29,72.75
软件研发与测试运维,966,28,12.5,2.95,2.92,0.1946,0.8282,0.6201,0.265,0.2899,0.4317,0.4959,3.3344,1.501,0.4482,0.7847,0.1108,0.2464,0.2702,0.3145,0.7144,0.1643,0.4026,10.0,19.4,68.29,23.4,10.0
其他运营支持,290,35,10.5,2.66,2.18,0.1,0.2138,0.7448,0.5345,0.3345,0.469,0.2414,0.469,2.8345,1.2172,0.9552,0.4931,0.1552,0.517,0.3583,0.168,0.0836,0.5455,49.15,24.73,23.17,16.82,38.27
