ts_code,official_name,title,std_title,category,city,salary,salary_k,degree,degree_level,experience,exp_level,low_barrier,senior_barrier,n_ai,has_ai,ai_skills,n_digital,has_digital,hard_skills_digital,n_human,has_human,soft_skills_human,n_repeat,has_repeat,repeat_hits,n_creative,has_creative,creative_hits,n_rule,has_rule,rule_hits
002657.SZ,北京中科金财科技股份有限公司,业务管培生,业务管培生,其他运营支持,北京,10-15K·13薪,13.541666666666666,本科,3,1-3年,2.0,0,0,1,1,ai,0,0,,6,1,沟通|表达|决策|抗压|解决问题|推动,1,1,跟进,0,0,,0,0,
002657.SZ,北京中科金财科技股份有限公司,总裁司机,总裁司机,其他运营支持,北京,8-10K,9.0,高中,1,3-5年,3.0,1,0,0,0,,0,0,,3,1,商务|服务意识|责任心,3,1,日常|上报|记录,1,1,突发,1,1,制度
002657.SZ,北京中科金财科技股份有限公司,铁路装备运维服务,铁路装备运维服务,软件研发与测试运维,北京,6-7K,6.5,大专,2,3-5年,3.0,1,0,0,0,,0,0,,0,0,,4,1,日常|定期|巡检|记录,0,0,,2,1,制度|规范
002657.SZ,北京中科金财科技股份有限公司,调度室运维服务工程师,调度室运维服务工程师,软件研发与测试运维,北京,7-8K,7.5,大专,2,3-5年,3.0,1,0,0,0,,0,0,,2,1,沟通|服务意识,7,1,整理|台账|日常|登记|上报|巡检|记录,0,0,,1,1,规范
002657.SZ,北京中科金财科技股份有限公司,react前端开发工程师,react前端开发工程师,软件研发与测试运维,宁波,11-15K,13.0,本科,3,5-10年,4.0,0,1,0,0,,0,0,,1,1,沟通,0,0,,0,0,,0,0,
002657.SZ,北京中科金财科技股份有限公司,销售助理,销售助理,客户营销与销售,北京,10-15K,12.5,本科,3,1-3年,2.0,0,0,1,1,ai,0,0,,8,1,沟通|表达|谈判|领导|协调|客户关系|商务|推动,1,1,跟进,1,1,谈判,1,1,流程
002657.SZ,北京中科金财科技股份有限公司,商务经理,商务经理,客户营销与销售,北京,5-7K·13薪,6.5,本科,3,1-3年,2.0,0,0,1,1,ai,3,1,excel|数据分析|erp,6,1,沟通|协调|培训|商务|责任心|抗压,2,1,归档|跟进,0,0,,5,1,流程|规范|合规|规定|审批流
002657.SZ,北京中科金财科技股份有限公司,金融大客户销售,金融大客户销售,客户营销与销售,北京,20-30K,25.0,本科,3,3-5年,3.0,0,0,1,1,ai,0,0,,7,1,谈判|协调|商务|拓展|资源整合|抗压|关系维护,0,0,,2,1,谈判|定制化,2,1,流程|合规
002657.SZ,北京中科金财科技股份有限公司,网络运维工程师,网络运维工程师,软件研发与测试运维,北京,8-13K·13薪,11.375,本科,3,3-5年,3.0,0,0,0,0,,0,0,,4,1,沟通|表达|协调|服务意识,1,1,日常,0,0,,0,0,
002657.SZ,北京中科金财科技股份有限公司,前端开发工程师,前端开发工程师,软件研发与测试运维,广州,12-18K,15.0,本科,3,3-5年,3.0,0,0,1,1,ai,1,1,sas,1,1,沟通,0,0,,1,1,研究,0,0,
