维度,关键词,出现岗位数,占全部岗位%
AI技术栈,ai,312,9.59
AI技术栈,大数据,176,5.41
AI技术栈,大模型,108,3.32
AI技术栈,agent,91,2.8
AI技术栈,人工智能,63,1.94
AI技术栈,智能体,59,1.81
AI技术栈,llm,40,1.23
AI技术栈,prompt,34,1.04
AI技术栈,机器学习,34,1.04
AI技术栈,nlp,30,0.92
AI技术栈,深度学习,28,0.86
AI技术栈,aigc,21,0.65
AI技术栈,pytorch,20,0.61
AI技术栈,大语言模型,18,0.55
AI技术栈,提示词,18,0.55
AI技术栈,tensorflow,17,0.52
AI技术栈,gpt,16,0.49
AI技术栈,自然语言处理,14,0.43
AI技术栈,模型训练,13,0.4
AI技术栈,强化学习,13,0.4
AI技术栈,语义,12,0.37
AI技术栈,deepseek,12,0.37
AI技术栈,数字人,11,0.34
AI技术栈,transformer,10,0.31
AI技术栈,推荐算法,9,0.28
AI技术栈,知识图谱,9,0.28
AI技术栈,cv,7,0.22
AI技术栈,算法模型,7,0.22
AI技术栈,chatgpt,7,0.22
AI技术栈,智能客服,6,0.18
硬技能-数字化,sql,811,24.92
硬技能-数字化,mysql,625,19.21
硬技能-数字化,数据库,611,18.78
硬技能-数字化,oracle,441,13.55
硬技能-数字化,linux,288,8.85
硬技能-数字化,python,270,8.3
硬技能-数字化,自动化,188,5.78
硬技能-数字化,接口,168,5.16
硬技能-数字化,git,156,4.79
硬技能-数字化,数据分析,154,4.73
硬技能-数字化,shell,140,4.3
硬技能-数字化,docker,128,3.93
硬技能-数字化,报表,108,3.32
硬技能-数字化,bi,106,3.26
硬技能-数字化,hive,101,3.1
硬技能-数字化,api,96,2.95
硬技能-数字化,etl,95,2.92
硬技能-数字化,spark,92,2.83
硬技能-数字化,数据仓库,71,2.18
硬技能-数字化,hadoop,70,2.15
硬技能-数字化,excel,61,1.87
硬技能-数字化,postgresql,61,1.87
硬技能-数字化,erp,60,1.84
硬技能-数字化,数仓,31,0.95
硬技能-数字化,数据建模,29,0.89
硬技能-数字化,kettle,23,0.71
硬技能-数字化,数据可视化,20,0.61
硬技能-数字化,sqlserver,20,0.61
硬技能-数字化,doris,16,0.49
硬技能-数字化,帆软,15,0.46
软技能-人际,沟通,1683,51.72
软技能-人际,培训,613,18.84
软技能-人际,责任心,555,17.06
软技能-人际,协调,535,16.44
软技能-人际,拓展,518,15.92
软技能-人际,表达,423,13.0
软技能-人际,抗压,417,12.81
软技能-人际,服务意识,365,11.22
软技能-人际,推动,345,10.6
软技能-人际,客户关系,328,10.08
软技能-人际,领导,220,6.76
软技能-人际,创新,218,6.7
软技能-人际,商务,205,6.3
软技能-人际,解决问题,151,4.64
软技能-人际,谈判,145,4.46
软技能-人际,关系维护,141,4.33
软技能-人际,团队管理,135,4.15
软技能-人际,跨部门,119,3.66
软技能-人际,客户维护,109,3.35
软技能-人际,方案设计,91,2.8
软技能-人际,决策,88,2.7
软技能-人际,统筹,84,2.58
软技能-人际,战略,81,2.49
软技能-人际,人际,73,2.24
软技能-人际,亲和,68,2.09
软技能-人际,判断,62,1.91
软技能-人际,汇报,56,1.72
软技能-人际,人脉,39,1.2
软技能-人际,应变,30,0.92
软技能-人际,组织能力,20,0.61
