岗位大类,维度,数据证据分,专家先验分,数据权重,融合分
算法与AI工程,R,23.76,38.0,0.282,33.98
数据分析与数据工程,R,37.9,58.0,0.335,51.27
信贷与授信审批,R,46.38,78.0,0.084,75.34
风险管理,R,58.67,55.0,0.16,55.59
合规审计与法务,R,63.62,52.0,0.193,54.24
财务会计核算,R,90.0,88.0,0.259,88.52
财务分析与财税咨询,R,45.98,62.0,0.221,58.46
投资研究与投行,R,34.37,42.0,0.271,39.93
财富管理与投资顾问,R,36.46,40.0,0.384,38.64
客户营销与销售,R,46.54,45.0,0.381,45.59
产品与需求管理,R,24.07,35.0,0.354,31.13
软件研发与测试运维,R,10.0,55.0,0.388,37.54
其他运营支持,R,49.15,50.0,0.362,49.69
算法与AI工程,S,38.85,45.0,0.282,43.26
数据分析与数据工程,S,33.71,60.0,0.335,51.2
信贷与授信审批,S,50.8,85.0,0.084,82.12
风险管理,S,90.0,72.0,0.16,74.88
合规审计与法务,S,55.92,80.0,0.193,75.35
财务会计核算,S,36.7,90.0,0.259,76.2
财务分析与财税咨询,S,76.94,68.0,0.221,69.97
投资研究与投行,S,23.7,45.0,0.271,39.23
财富管理与投资顾问,S,10.0,45.0,0.384,31.55
客户营销与销售,S,16.62,42.0,0.381,32.33
产品与需求管理,S,38.29,42.0,0.354,40.69
软件研发与测试运维,S,19.4,58.0,0.388,43.03
其他运营支持,S,24.73,55.0,0.362,44.03
算法与AI工程,D,60.33,95.0,0.424,80.32
数据分析与数据工程,D,90.0,95.0,0.502,92.49
信贷与授信审批,D,34.68,82.0,0.126,76.02
风险管理,D,21.63,85.0,0.24,69.79
合规审计与法务,D,27.91,70.0,0.29,57.81
财务会计核算,D,31.52,85.0,0.388,64.24
财务分析与财税咨询,D,17.59,80.0,0.331,59.32
投资研究与投行,D,20.76,78.0,0.406,54.73
财富管理与投资顾问,D,10.0,55.0,0.576,29.06
客户营销与销售,D,14.04,45.0,0.571,27.31
产品与需求管理,D,41.48,70.0,0.531,54.86
软件研发与测试运维,D,68.29,92.0,0.582,78.2
其他运营支持,D,23.17,45.0,0.544,33.13
算法与AI工程,A,90.0,58.0,0.424,71.55
数据分析与数据工程,A,49.54,78.0,0.502,63.71
信贷与授信审批,A,10.0,80.0,0.126,71.16
风险管理,A,14.7,75.0,0.24,60.53
合规审计与法务,A,19.97,62.0,0.29,49.83
财务会计核算,A,10.0,85.0,0.388,55.88
财务分析与财税咨询,A,10.0,72.0,0.331,51.46
投资研究与投行,A,13.96,60.0,0.406,41.29
财富管理与投资顾问,A,10.17,52.0,0.576,27.89
客户营销与销售,A,12.86,45.0,0.571,26.64
产品与需求管理,A,25.29,55.0,0.531,39.23
软件研发与测试运维,A,23.4,72.0,0.582,43.72
其他运营支持,A,16.82,40.0,0.544,27.4
算法与AI工程,H,33.34,70.0,0.424,54.47
数据分析与数据工程,H,23.65,45.0,0.502,34.28
信贷与授信审批,H,46.13,38.0,0.126,39.03
风险管理,H,64.4,55.0,0.24,57.26
合规审计与法务,H,69.74,62.0,0.29,64.24
财务会计核算,H,22.47,25.0,0.388,24.02
财务分析与财税咨询,H,90.0,48.0,0.331,61.92
投资研究与投行,H,34.43,70.0,0.406,55.54
财富管理与投资顾问,H,24.58,82.0,0.576,48.9
客户营销与销售,H,61.4,85.0,0.571,71.52
产品与需求管理,H,72.75,75.0,0.531,73.81
软件研发与测试运维,H,10.0,45.0,0.582,24.63
其他运营支持,H,38.27,60.0,0.544,48.18
