category,std_title,岗位数,公司数,薪资中位数K,AI渗透度,数字化覆盖率,人际覆盖率,重复性覆盖率,创造性覆盖率,规则化覆盖率,低门槛占比,高经验壁垒占比,R,S,D,A,H,Risk,风险等级,是否金融核心岗
数据分析与数据工程,数据开发工程师,24,10,12.25,0.625,0.9583333333333334,0.625,0.5833333333333334,0.3333333333333333,0.625,0.0,0.375,49.83,52.49,92.29,63.88,33.06,64.2,中等替代风险,False
数据分析与数据工程,etl工程师,11,5,12.5,0.45454545454545453,1.0,0.9090909090909091,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.09090909090909091,0.0,53.23,52.26,92.97,61.31,37.65,64.0,中等替代风险,False
数据分析与数据工程,etl开发工程师,9,5,13.0,0.1111111111111111,1.0,0.5555555555555556,0.6666666666666666,0.0,0.8888888888888888,0.0,0.1111111111111111,51.15,55.45,92.92,57.07,32.62,64.0,中等替代风险,False
数据分析与数据工程,大数据开发工程师,11,8,18.95833333333333,1.0,1.0,0.7272727272727273,0.2727272727272727,0.45454545454545453,0.5454545454545454,0.0,0.2727272727272727,45.41,50.91,92.97,69.38,34.95,63.8,中等替代风险,False
数据分析与数据工程,数据分析师,10,9,18.0,0.4,1.0,0.8,0.7,0.4,0.4,0.0,0.6,51.66,48.89,92.94,60.67,35.93,63.0,中等替代风险,False
数据分析与数据工程,etl开发,5,2,14.5,0.4,1.0,0.6,0.4,0.4,0.2,0.0,0.6,48.57,48.01,92.77,61.81,33.56,62.6,中等替代风险,False
软件研发与测试运维,ai应用开发工程师,6,4,18.25,1.0,0.8333333333333334,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.3333333333333333,40.56,45.38,78.25,51.77,25.1,56.5,中等替代风险,False
财务分析与财税咨询,财税咨询顾问,11,1,15.625,0.0,0.09090909090909091,0.9090909090909091,0.5454545454545454,0.7272727272727273,0.9090909090909091,0.5454545454545454,0.8181818181818182,57.46,69.82,58.67,51.46,60.97,56.2,中等替代风险,True
软件研发与测试运维,应用运维,7,4,11.5,0.0,1.0,0.8571428571428571,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.5714285714285714,0.14285714285714285,46.48,46.18,80.11,41.55,27.27,56.1,中等替代风险,False
软件研发与测试运维,ai应用研发工程师,5,1,20.0,1.0,1.0,0.2,0.0,0.0,0.2,0.2,0.8,36.29,41.0,79.7,50.77,20.95,55.2,中等替代风险,False
算法与AI工程,算法工程师,5,4,24.375,1.0,0.8,0.6,0.6,0.6,0.4,0.4,0.4,37.03,41.53,80.64,71.79,53.04,55.1,中等替代风险,False
软件研发与测试运维,测试工程师,85,9,11.5,0.1411764705882353,0.8705882352941177,0.6941176470588235,0.36470588235294116,0.15294117647058825,0.611764705882353,0.08235294117647059,0.24705882352941178,40.17,48.39,79.46,42.13,26.83,55.0,中等替代风险,False
算法与AI工程,ai开发工程师,7,4,18.5,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.0,0.42857142857142855,33.71,44.56,79.77,71.86,53.92,54.6,中等替代风险,False
算法与AI工程,ai产品经理,13,7,30.0,1.0,0.6153846153846154,0.9230769230769231,0.46153846153846156,0.7692307692307693,0.8461538461538461,0.3076923076923077,0.38461538461538464,34.32,47.31,77.91,72.0,57.06,54.5,中等替代风险,False
软件研发与测试运维,运维工程师,12,8,11.833333333333332,0.08333333333333333,0.75,0.5833333333333334,0.6666666666666666,0.0,0.4166666666666667,0.0,0.16666666666666666,42.46,42.8,76.98,41.99,24.06,54.4,中等替代风险,False
软件研发与测试运维,测试开发工程师,5,3,30.0,0.0,1.0,1.0,0.0,0.8,1.0,0.0,0.6,33.89,48.0,79.7,42.02,27.95,53.2,中等替代风险,False
软件研发与测试运维,软件工程师,12,3,9.5,0.3333333333333333,1.0,0.6666666666666666,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.08333333333333333,33.38,41.5,80.87,45.88,25.35,53.2,中等替代风险,False
软件研发与测试运维,java开发工程师,361,20,12.5,0.1745152354570637,0.9307479224376731,0.5789473684210527,0.19667590027700832,0.26038781163434904,0.3545706371191136,0.0664819944598338,0.1772853185595568,34.71,40.44,81.65,43.04,23.25,53.2,中等替代风险,False
软件研发与测试运维,软件开发工程师,10,9,14.25,0.3,1.0,0.8,0.1,0.5,0.3,0.1,0.3,35.1,41.19,80.61,45.2,27.15,53.1,中等替代风险,False
合规审计与法务,总经理助理,5,4,12.5,0.0,0.0,1.0,0.8,0.4,0.0,0.2,0.2,52.37,69.72,55.31,48.58,64.55,53.1,中等替代风险,True
软件研发与测试运维,软件测试,5,5,9.0,0.0,0.6,0.8,0.6,0.2,0.4,0.0,0.0,39.14,42.75,76.2,42.02,26.2,53.0,中等替代风险,False
软件研发与测试运维,java中高级开发工程师,5,2,11.5,0.4,1.0,1.0,0.2,0.6,0.2,0.0,0.2,35.64,41.0,79.7,45.52,27.95,53.0,中等替代风险,False
软件研发与测试运维,前端,5,3,14.5,0.0,0.4,0.6,0.2,0.2,0.8,0.0,0.8,35.64,46.25,74.45,42.02,24.45,52.8,中等替代风险,False
软件研发与测试运维,全栈工程师,5,4,14.5,0.0,0.8,0.8,0.2,0.2,0.4,0.0,0.4,35.64,42.75,77.95,42.02,26.2,52.5,中等替代风险,False
软件研发与测试运维,前端开发工程师,37,13,13.0,0.2702702702702703,0.5135135135135135,0.7027027027027027,0.21621621621621623,0.2972972972972973,0.5675675675675675,0.05405405405405406,0.21621621621621623,35.64,46.41,70.36,45.6,26.69,52.4,中等替代风险,False
软件研发与测试运维,前端开发,7,5,14.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.5714285714285714,0.0,0.2857142857142857,33.26,44.59,73.75,41.55,20.91,52.2,中等替代风险,False
软件研发与测试运维,c++开发工程师,6,2,29.166666666666668,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.5,35.56,38.71,79.92,41.77,28.43,51.7,中等替代风险,False
软件研发与测试运维,java软件工程师,5,2,12.0,0.2,0.6,0.6,0.0,0.0,0.0,0.0,0.2,33.89,39.25,76.2,43.77,24.45,51.6,中等替代风险,False
软件研发与测试运维,前端工程师,5,4,14.0,0.0,0.4,0.6,0.0,0.4,0.4,0.0,0.4,33.89,42.75,74.45,42.02,24.45,51.6,中等替代风险,False
投资研究与投行,证券分析师,7,3,10.5,0.0,0.0,0.7142857142857143,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.0,42.72,38.7,52.79,40.76,55.72,43.8,中等替代风险,True
投资研究与投行,投资银行业务,7,5,3.80625,0.0,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.5714285714285714,0.0,0.7142857142857143,36.11,40.29,54.38,40.76,52.53,43.2,中等替代风险,True
投资研究与投行,债券承做,5,2,13.5,0.0,0.0,0.6,0.6,0.4,0.6,0.0,1.0,36.32,40.31,53.2,40.87,54.68,42.8,中等替代风险,True
其他运营支持,金融实习生,6,3,2.175,0.0,0.0,0.5,0.5,0.0,0.16666666666666666,0.5,0.0,49.43,41.01,30.99,26.4,45.73,40.2,中等替代风险,False
其他运营支持,市场总监,5,4,10.833333333333334,0.0,0.2,1.0,0.2,0.8,0.8,0.4,0.0,45.64,46.93,33.01,26.52,50.41,40.1,中等替代风险,False
其他运营支持,证券,9,6,7.5,0.0,0.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.0,46.21,42.25,30.32,26.09,44.24,39.6,低替代风险,False
产品与需求管理,实施工程师,10,4,7.0,0.5,0.6,0.7,0.3,0.6,0.6,0.1,0.3,27.62,40.57,56.5,43.0,71.74,39.2,低替代风险,False
