排名,职能岗,锚定大类,岗位数,公司数,薪资中位数K,样本占比%,R,R_证据覆盖率,S,S_证据覆盖率,D,D_证据覆盖率,A,A_证据覆盖率,H,H_证据覆盖率,Risk,风险等级,数据权重,证据强度
1,资产盘点与台账管理,财务会计核算,10,1,4.61,0.31,93.29,1.0,77.22,0.6,65.0,0.4,55.88,0.0,28.35,1.0,73.7,高替代风险,0.4,弱（以专家先验为主）
2,清结算与账户操作,财务会计核算,7,4,8.5,0.22,90.35,1.0,76.69,0.571,61.98,0.143,55.88,0.0,21.1,0.429,73.3,高替代风险,0.318,弱（以专家先验为主）
3,信贷审批与贷后管理,信贷与授信审批,12,4,10.5,0.37,74.13,0.333,78.23,0.5,71.48,0.083,71.16,0.0,38.38,0.833,71.9,高替代风险,0.444,弱（以专家先验为主）
4,会计核算与记账,财务会计核算,25,4,7.0,0.77,86.05,0.56,73.42,0.4,61.06,0.2,55.88,0.0,18.53,0.44,71.8,高替代风险,0.625,中
5,风控策略与风险监控,风险管理,11,7,11.25,0.34,53.03,0.636,73.06,0.727,69.52,0.182,61.14,0.091,56.18,0.727,60.6,中等替代风险,0.423,弱（以专家先验为主）
6,合规内控与审计,合规审计与法务,10,7,9.75,0.31,54.01,0.8,80.35,1.0,59.41,0.4,50.63,0.2,64.74,1.0,56.9,中等替代风险,0.4,弱（以专家先验为主）
7,财税咨询顾问,财务分析与财税咨询,32,1,12.5,0.98,58.65,0.594,70.41,0.938,59.08,0.125,51.46,0.0,61.82,0.969,56.6,中等替代风险,0.681,中
8,法务与法律事务,合规审计与法务,5,4,16.0,0.15,50.6,0.4,76.72,0.8,55.31,0.0,48.58,0.0,64.55,1.0,54.1,中等替代风险,0.25,弱（以专家先验为主）
9,证券分析与投资研究,投资研究与投行,22,8,10.5,0.68,41.53,0.591,38.78,0.455,55.83,0.227,42.19,0.091,55.19,0.682,44.5,中等替代风险,0.595,中
10,投行承做与承销,投资研究与投行,25,9,3.81,0.77,37.85,0.52,39.31,0.48,53.54,0.12,40.25,0.0,54.26,0.64,42.9,中等替代风险,0.625,中
11,投资顾问,财富管理与投资顾问,187,10,10.5,5.75,38.29,0.487,33.57,0.401,29.18,0.016,27.8,0.0,50.51,0.791,35.1,低替代风险,0.926,强（数据驱动）
12,理财与财富管理,财富管理与投资顾问,526,15,8.0,16.16,38.79,0.435,30.63,0.312,28.97,0.01,27.93,0.004,48.31,0.724,35.0,低替代风险,0.972,强（数据驱动）
13,柜面与网点运营,客户营销与销售,35,10,7.25,1.08,46.87,0.6,33.63,0.457,26.87,0.057,25.54,0.0,67.38,0.714,33.8,低替代风险,0.7,中
14,客户经理与客户维护,客户营销与销售,205,21,10.5,6.3,48.44,0.571,31.24,0.371,28.36,0.107,27.08,0.059,72.15,0.902,33.6,低替代风险,0.932,强（数据驱动）
15,电话销售与客服,客户营销与销售,23,8,12.5,0.71,49.46,0.609,32.98,0.435,25.72,0.0,25.69,0.0,74.0,1.0,33.1,低替代风险,0.605,中
16,证券经纪与拓客,客户营销与销售,90,12,9.5,2.77,40.04,0.322,29.54,0.311,25.06,0.0,25.29,0.0,67.36,0.744,30.9,低替代风险,0.857,强（数据驱动）
